date,code,name,open,high,low,close,changepct,volume,avg,avg01,avg12,avg012,avg123
20260209,OTC.TW,櫃買指數,295.49,302.62,285.03,296.62,2.03,156763750000,297.17,293.31,294.42,295.29,295.86
20260206,OTC.TW,櫃買指數,299.68,302.62,285.03,290.72,-1.9,175317200000,289.86,294.42,299.17,295.86,298.82
20260205,OTC.TW,櫃買指數,305.23,305.42,292.44,296.36,-1.71,165589700000,299.25,299.17,298.62,298.82,297.4
20260204,OTC.TW,櫃買指數,309.23,311.68,292.44,301.52,1.09,151573390000,299.09,298.62,296.68,297.4,298.61
20260203,OTC.TW,櫃買指數,306.45,311.68,292.44,298.26,1.34,193704740000,298.25,296.68,298.81,298.61,302.2
20260202,OTC.TW,櫃買指數,303.55,311.68,292.44,294.32,-2.15,161997630000,294.8,298.81,305.01,302.2,306.36
20260130,OTC.TW,櫃買指數,299.88,311.68,299.29,300.78,-1.54,188694950000,302.26,305.01,307.99,306.36,307.09
20260129,OTC.TW,櫃買指數,298.73,311.68,297.23,305.48,-1.23,236506440000,307.21,307.99,307.03,307.09,305.61
20260128,OTC.TW,櫃買指數,294.73,310.12,294.73,309.28,1.32,238921180000,308.76,307.03,303.56,305.61,302.1
20260127,OTC.TW,櫃買指數,297.28,306.09,292.5,305.26,0.86,199440490000,304.96,303.56,300.5,302.1,300.02
20260126,OTC.TW,櫃買指數,294.48,302.76,292.5,302.65,1.13,169429380000,301.92,300.5,299.22,300.02,298.07
20260123,OTC.TW,櫃買指數,293.34,301.16,292.5,299.26,0.48,186101750000,299.21,299.22,297.62,298.07,297.25
20260122,OTC.TW,櫃買指數,292.16,300.7,291.41,297.82,1.59,219072040000,299.23,297.62,296.26,297.25,295.93
20260121,OTC.TW,櫃買指數,290.75,299.18,289.62,293.16,-1.5,242770890000,296.16,296.26,295.77,295.93,294.85
20260120,OTC.TW,櫃買指數,286.15,298.02,286.15,297.61,0.85,196451290000,296.38,295.77,293.98,294.85,292.93
20260119,OTC.TW,櫃買指數,286.9,295.6,282.51,295.11,0.8,166878100000,295.06,293.98,291.9,292.93,291.18
20260116,OTC.TW,櫃買指數,280.9,294.77,280.9,292.78,0.56,179612170000,292.98,291.9,290.22,291.18,288.66
20260115,OTC.TW,櫃買指數,280.54,291.67,275.67,291.16,0.19,164407570000,290.72,290.22,287.7,288.66,286.8
20260114,OTC.TW,櫃買指數,281.65,291.06,275.67,290.6,1.84,170807920000,289.73,287.7,285.39,286.8,283.46
20260113,OTC.TW,櫃買指數,279.3,288.94,275.67,285.36,-0.42,181306820000,285.79,285.39,282.19,283.46,282.12
20260112,OTC.TW,櫃買指數,276.03,286.57,275.67,286.57,2.4,171270500000,284.96,282.19,280.64,282.12,280.97
20260109,OTC.TW,櫃買指數,278.74,283.91,275.44,279.85,-0.07,159314930000,279.21,280.64,281.82,280.97,280.78
20260108,OTC.TW,櫃買指數,276.64,283.91,275.44,280.06,-0.49,171103120000,281.98,281.82,280.15,280.78,279.12
20260107,OTC.TW,櫃買指數,274.74,282.81,274.74,281.44,0.89,159990830000,281.64,280.15,278.0,279.12,278.03
20260106,OTC.TW,櫃買指數,272.73,281.0,271.97,278.97,1.2,169459770000,278.75,278.0,277.7,278.03,277.35
20260105,OTC.TW,櫃買指數,271.75,281.0,271.75,275.66,-0.85,191203020000,277.34,277.7,277.35,277.35,276.18
20260102,OTC.TW,櫃買指數,270.09,278.8,270.09,278.03,0.65,180171190000,278.09,277.35,275.04,276.18,274.4
20251231,OTC.TW,櫃買指數,268.21,277.36,268.21,276.24,0.62,159537610000,276.51,275.04,273.23,274.4,272.72
20251230,OTC.TW,櫃買指數,267.2,274.7,267.2,274.54,0.63,140462440000,273.36,273.23,272.41,272.72,271.44
20251229,OTC.TW,櫃買指數,263.31,273.65,263.31,272.82,0.49,145865420000,273.1,272.41,270.6,271.44,269.78
20251226,OTC.TW,櫃買指數,259.93,272.27,259.93,271.5,0.65,138549500000,271.68,270.6,268.88,269.78,268.05
20251224,OTC.TW,櫃買指數,261.3,270.25,259.15,269.75,0.74,152061200000,269.62,268.88,267.18,268.05,265.67
20251223,OTC.TW,櫃買指數,260.47,268.85,259.15,267.76,0.34,143163440000,268.1,267.18,264.3,265.67,263.11
20251222,OTC.TW,櫃買指數,265.13,266.85,257.95,266.85,1.6,129414560000,266.16,264.3,261.43,263.11,261.86
20251219,OTC.TW,櫃買指數,264.89,265.82,257.95,262.64,1.25,123842920000,262.36,261.43,261.59,261.86,261.68
20251218,OTC.TW,櫃買指數,264.24,266.64,257.95,259.39,-0.79,110405470000,260.39,261.59,262.19,261.68,262.77
20251217,OTC.TW,櫃買指數,265.01,267.2,257.95,261.45,0.46,128101830000,262.63,262.19,262.84,262.77,263.9
20251216,OTC.TW,櫃買指數,264.48,267.2,257.95,260.24,-1.86,150072240000,261.82,262.84,265.11,263.9,265.4
20251215,OTC.TW,櫃買指數,262.64,267.2,261.92,265.16,-0.08,116444160000,264.15,265.11,265.86,265.4,265.48
20251212,OTC.TW,櫃買指數,261.19,267.2,261.13,265.37,0.53,141951580000,265.9,265.86,265.3,265.48,264.84
