date,code,name,open,high,low,close,changepct,volume,avg,avg01,avg12,avg012,avg123
20251231,TSE.TW,加權指數,28383.61,29009.81,28280.59,28963.6,0.89,5.47918E+11,28900.18,28803.99,28713.97,28782.64,28648.5
20251230,TSE.TW,加權指數,28253.14,28841.64,28212.84,28707.13,-0.36,4.69255E+11,28691.67,28713.97,28626.29,28648.5,28546.08
20251229,TSE.TW,加權指數,27986.66,28841.64,27986.66,28810.89,0.89,4.6864E+11,28736.3,28626.29,28445.04,28546.08,28392.36
20251226,TSE.TW,加權指數,27685.74,28590.91,27672.05,28556.02,0.65,4.43485E+11,28510.05,28445.04,28332.4,28392.36,28248.93
20251224,TSE.TW,加權指數,27447.45,28486.38,27350.77,28371.98,0.22,4.38772E+11,28379.33,28332.4,28187.79,28248.93,28025.59
20251223,TSE.TW,加權指數,27596.18,28350.37,27350.77,28310.47,0.57,4.31648E+11,28284.69,28187.79,27921.31,28025.59,27777.24
20251222,TSE.TW,加權指數,27721.1,28168.75,27350.77,28149.64,1.64,5.04251E+11,28104.84,27921.31,27616.56,27777.24,27627.09
20251219,TSE.TW,加權指數,28119.79,28119.79,27350.77,27696.35,0.83,5.68198E+11,27758.43,27616.56,27551.3,27627.09,27553.86
20251218,TSE.TW,加權指數,28097.54,28272.06,27350.77,27468.53,-0.21,4.59891E+11,27441.28,27551.3,27602.17,27553.86,27677.86
20251217,TSE.TW,加權指數,28385.23,28568.02,27355.67,27525.17,-0.04,5.24683E+11,27647.73,27602.17,27693.69,27677.86,27852.21
20251216,TSE.TW,加權指數,28190.76,28568.02,27355.67,27536.66,-1.19,5.46971E+11,27558.47,27693.69,28023.15,27852.21,28108.23
20251215,TSE.TW,加權指數,28364.04,28568.02,27684.87,27866.94,-1.17,4.51532E+11,27857.48,28023.15,28218.67,28108.23,28253.67
20251212,TSE.TW,加權指數,28034,28568.02,27984.19,28198.02,0.62,4.88362E+11,28176.33,28218.67,28289.79,28253.67,28274.95
20251211,TSE.TW,加權指數,27796.43,28568.02,27738.5,28024.75,-1.32,5.36903E+11,28257.18,28289.79,28284.19,28274.95,28248.5
20251210,TSE.TW,加權指數,27773.42,28417.09,27636.63,28400.73,0.77,5.08828E+11,28324.19,28284.19,28208.48,28248.5,28091.68
20251209,TSE.TW,加權指數,27605.63,28390.24,27605.63,28182.6,-0.43,5.24248E+11,28245.36,28208.48,28001.66,28091.68,27931.72
20251208,TSE.TW,加權指數,27550.35,28303.78,27477.1,28303.78,1.15,4.37988E+11,28164.33,28001.66,27812.54,27931.72,27794.01
20251205,TSE.TW,加權指數,27674.16,27980.89,27342.53,27980.89,0.67,4.57045E+11,27845.78,27812.54,27766.34,27794.01,27711.78
