日期,品名,規格, 數量 , 單位 , 單價 , 金額 , 總計 
2025/12/19,007.洋蔥,,3.46,台斤,38,131,  
2025/12/19,201.蛤蠣,,1,台斤,155,155,  
2025/12/19,008.蒜(碎),,1,台斤,120,120,  
2025/12/20,012.綠捲生菜,,0.19,台斤,300,56,"$2,009"
2025/12/20,001.九層塔,,0.19,台斤,100,19,  
2025/12/20,003.聖女番茄,,0.5,盒,160,80,  
2025/12/20,202.白蝦,,3,盒,280,840,  
2025/12/20,005.紅椒,,1.06,台斤,130,138,  
2025/12/20,006.黃椒,,1.12,台斤,130,146,  
2025/12/20,010.紫包心,,0.56,台斤,240,135,  
2025/12/20,201.蛤蠣,,2,台斤,155,310,  
2025/12/20,021.洋菇,,3,盒,95,285,  
,,,,,  ,  ,
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
,,,,,  ,  ,  
